Restitution,Etape,Principe,Paramètre ,Degré_Retenu_P,Sources,Justification_Degré_Retenu_P,Deal-Breaker,Commentaire,source_sheet,source_file,Source,Deal-Breaker (Oui/Non),Commentaires ,Paramètre
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E1,inclusivité (P_I),11. critères de sélection ,Degré 2,"Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].",Les OSC qui ont pu participer à la phase des négociations ont été sélectionnées à la discrétion des gouvernements parties aux négociations ( p.11).,,,Etape 1,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E2,transparence (P_T) ,1. modalités d'accès à l'information ,Degré 3,,"Les informations étaient publiées de manière centralisées sur le site de la fondation BOTA (bota.kz). Bien que ce site internet est actuellement retiré, faute de financement pour son entretien, Bornstein a confirmé son existence et le contenu des publications, qui étaient publiées en russe, kazakh et anglais. (p. 4).",,,Etape 2,SANS déf_bota_codification (V3 C) copy.xlsx,"Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].",,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E2,transparence (P_T) ,2. niveau de détail de l'information ,Degré 3,,"La traduction du matériel de programmation (accords, documentation relative aux programmes, appels à candidatures, rapports de suivi et d’évaluation) en russe, kazakh et anglais était une condition pour les faire approuver par le Conseil d’administration (P.4, Q14).",,,Etape 2,SANS déf_bota_codification (V3 C) copy.xlsx,"Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].","On ne peut pas savoir quelles informations étaient effectivement accessible au moment de la sélection. Dans ce cas, retenir le degré du dessous.",,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E2,transparence (P_T) ,3. délai de fréquence de publication,Degré 3,,"Les informations étaient publiées à temps et actualisées, le long de l’entièreté du processus de restitution. ",,,Etape 2,SANS déf_bota_codification (V3 C) copy.xlsx,"Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].","Seules des informations générales sont publiées en temps et en heure, mais la société civile n’est pas tenue au courant des choix effectués pendant le processus, retenir le degré 2. ",,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E2,redevabilité (P_R),4. planification et formalisation du processus de restitution,Degré 2,,"La sélection des programmes d’allocation (CCT, SSP, TAP) s’est effectuée à la discrétion des gouvernements des Etats parties, donc dans les conditions a) et b) des critères de l’indicateur. La Banque Mondiale a cependant fait partie de cette décision (p.8). ",,,Etape 2,SANS déf_bota_codification (V3 C) copy.xlsx,"Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].",,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E2,redevabilité (P_R),5. répartition des rôles de la structure de gouvernance ou des responsables de la gouvernance des fonds ,Degré 3,,"Les acteurs intervenant dans la Fondations  BOTA sont identifiés : Les membres du Conseil d’Administration (""Board of Trustees” ou “Board of Supervisors”) sont connus. Les managers du programmes sont également identifiés. Cinq membres sont issues de la société civile kazakh, étaient tous totalement indépendants du gouvernement Kazakh, de ses responsables et de leurs proches ou partenaires commerciaux. Les deux autres membres du conseil d'administration ont été nommés par les gouvernements américain et suisse. Les responsabilités du Conseil comprennent l'adoption des documents constitutifs, l'approbation du manuel opérationnel et des plans de travail annuels, la sélection du responsable de programme par le biais d'un appel d'offres, ainsi que la supervision des comptes et des procédures d'audit. Les membres du Conseil représentant les gouvernements peuvent être révoqués à tout moment par leur gouvernement respectif, ils ne représentant pas un gouvernement peuvent être révoqués conjointement par les États-Unis et la Suisse. La Banque mondiale agit en tant que superviseur technique indépendant et n'est pas responsable de la mise en œuvre quotidienne du programme. Ses principales missions consistent à aider à la création de la fondation, à élaborer le manuel opérationnel, à examiner et approuver les demandes de déblocage de fonds, à fournir des rapports de supervision semestriels aux gouvernements, à détecter et signaler les irrégularités, ainsi qu'à assurer la formation et le renforcement des capacités de la fondation en matière de gestion financière, de passation de marchés et d'administration des subventions. La Banque mondiale perçoit des honoraires de service du Kazakhstan pour ce travail, d'un montant de 500 000 dollars la première année, puis de 150 000 dollars par an les années suivantes. Le responsable de programme est le moteur opérationnel de la Fondation BOTA, une organisation non gouvernementale internationale réputée, sélectionnée à l'issue d'un appel d'offres ouvert et concurrentiel nécessitant l'approbation unanime du conseil d'administration et des trois gouvernements. Le responsable de programme met en œuvre, administre et gère les opérations quotidiennes du programme BOTA, tient le compte opérationnel sur lequel sont versés les fonds débloqués, effectue les décaissements conformément au manuel opérationnel, soumet les demandes de versements échelonnés aux gouvernements (avec l'accord préalable de la Banque mondiale), et prépare les plans de travail annuels et les rapports financiers. Le responsable de programme sélectionné était IREX. ",,,Etape 2,SANS déf_bota_codification (V3 C) copy.xlsx,"Memorandum of Understanding, (2007). https://2009-2017.state.gov/documents/organization/108887.pdf",,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E2,redevabilité (P_R),6. compétence et indépendance des responsables de la gouvernance des fonds,Degré 3,,"Les membres du Conseil d’administration ne sont pas désignés suite à un appel d’offre, mais le responsable de programme, IREX, oui (1) . Cette ONG est compétente, indépendante, et les critères pris en compte sont définis et justifiés (2).",,,Etape 2,SANS déf_bota_codification (V3 C) copy.xlsx,"(1) Memorandum of Understanding, (2007). https://2009-2017.state.gov/documents/organization/108887.pdf ; (2) Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].",,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E2,inclusivité (P_I),7. capacité d'action,Degré 0,,"Aucune consultation de la société civile n’a été effectuée dans l’objectif de déterminer les besoins et attentes des populations, et ainsi identifier les priorités de la restitution des fonds (p.6).",,,Etape 2,SANS déf_bota_codification (V3 C) copy.xlsx,"Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].",,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E2,inclusivité (P_I),8. modalités de participation ,Degré 3,,"Le responsable de programme est le moteur opérationnel de la Fondation BOTA, une organisation non gouvernementale internationale réputée, sélectionnée à l'issue d'un appel d'offres ouvert et concurrentiel nécessitant l'approbation unanime du conseil d'administration et des trois gouvernements. Le responsable de programme met en œuvre, administre et gère les opérations quotidiennes du programme BOTA, tient le compte opérationnel sur lequel sont versés les fonds débloqués, effectue les décaissements conformément au manuel opérationnel, soumet les demandes de versements échelonnés aux gouvernements (avec l'accord préalable de la Banque mondiale), et prépare les plans de travail annuels et les rapports financiers. Le responsable de programme sélectionné était IREX, une ONG est compétente, indépendante, et les critères pris en compte sont définis et justifiés.",,,Etape 2,SANS déf_bota_codification (V3 C) copy.xlsx,"(1) Memorandum of Understanding, (2007). https://2009-2017.state.gov/documents/organization/108887.pdf ; (2) Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].",,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E2,inclusivité (P_I),9. sélection des objectifs priorisés et mise en œuvre des programmes d’allocation,Degré 3,,"La thématique de l’éducation répond à un réel besoin de la populations (1). La structure des programmes d’allocation est adaptée au public visé, et prend en compte ses dispositions (2). Les SSPs sont organisés pour pouvoir être adaptées aux petites et grandes organisations, très, peu ou pas expérimentées. Les TAP ont également été accompagnées d’événement de networking et de soutien à la scolarité, avec un suivi des élèves méticuleux. Les CCTs ont été controlés, et un système de recours permettant de signaler les irrégularités ou problèmes de déversement des sommes accordées. ",,,Etape 2,SANS déf_bota_codification (V3 C) copy.xlsx,"(1) IREX, & Save the Children. (2015). The BOTA Foundation: Final Summative Report. IREX. https://www.irex.org/sites/default/files/node/resource/bota-foundation-final-report.pdf ; (2) Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication]",,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E3 ,transparence (P_T) ,1. modalités d'accès à l'information ,Degré 3,"(1) IREX, & Save the Children. (2015). The BOTA Foundation: Final Summative Report. IREX. https://www.irex.org/sites/default/files/node/resource/bota-foundation-final-report.pdf ; (2) Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].","Les informations étaient publiées de manière centralisées sur le site de la fondation BOTA (bota.kz) (1). Bien que ce site internet est actuellement retiré, faute de financement pour son entretien, Bornstein a confirmé son existence et le contenu des publications, qui étaient publiées en russe, kazakh et anglais. ((1)p. 4).",,,Etape 3,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E3 ,transparence (P_T) ,2. niveau de détail de l'information ,Degré 3,"(1) Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication] ; (2) Merttens, F., MacAuslan, I., & Marzi, M. (2014). Evaluating the BOTA Foundation’s social sector programmes in Kazakhstan. Opml.co.uk; Oxford Policy Management. https://www.opml.co.uk/projects/evaluating-bota-foundation-social-sector-programmes-kazakhstan","Les informations publiées sur le site de la fondation BOTA (bota.kz) incluaient ((1)p. 4) : Informations sur les programmes et dossiers de candidature ; Communiqués de presse ; actualités sur les programmes ; Le magazine mensuel (BOTAzhan), qui présentait les dernières actualités sur les programmes ; Rapports d’évaluation/audits ; Noms des bénéficiaires. Par ailleurs, sur les CCT, Oxford Policy Management a mené une évaluation d'impact rigoureuse sous la forme d'un essai contrôlé randomisé, comprenant une enquête de référence réalisée en 2011 et un suivi portant sur près de 2 300 ménages et 350 établissements préscolaires (2).",,,Etape 3,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E3,transparence (P_T) ,"3. temporalité, fréquence et actualisation des informations publiées",Degré 3,"(1) Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication] ; (2) Merttens, F., MacAuslan, I., & Marzi, M. (2014). Evaluating the BOTA Foundation’s social sector programmes in Kazakhstan. Opml.co.uk; Oxford Policy Management. https://www.opml.co.uk/projects/evaluating-bota-foundation-social-sector-programmes-kazakhstan","La publication des documents étaient consistante tout au long du processus de restitution sur le site officiel de BOTA (bota.kz), comme l’a confirmé Bornstein (1). Par ailleurs, sur les CCT, Oxford Policy Management a mené une évaluation d'impact rigoureuse sous la forme d'un essai contrôlé randomisé, comprenant une enquête de référence réalisée en 2011 et un suivi portant sur près de 2 300 ménages et 350 établissements préscolaires (2).",,,Etape 3,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E3,redevabilité (P_R),4. planification et formalisation du processus de restitution,Degré 3,"IREX, & Save the Children. (2015). The BOTA Foundation: Final Summative Report. IREX. https://www.irex.org/sites/default/files/node/resource/bota-foundation-final-report.pdf","Pour les SSP : le rapport final de la fondation BOTA cite (traduit de l'anglais) (rapport de l’IREX p.4) ""Une structure de subventions à plusieurs niveaux a été mise en place afin de permettre aux organisations peu ou pas expérimentées de recevoir de petites subventions (jusqu'à 2 000 dollars) pour la planification et la mobilisation communautaire, et aux ONG très expérimentées de recevoir des subventions importantes (jusqu'à 50 000 dollars) pour reproduire des projets couronnés de succès, former d'autres ONG ou œuvrer à l'amélioration du cadre d'aide sociale au Kazakhstan. Près des trois quarts des subventions ont été accordées à des organisations de petite et moyenne taille pour la fourniture de services sociaux. Entre 2009 et 2014, le SSP a mené huit cycles de subventions et financé 632 projets”. Pour les CCT : appels d'offre ouverts, avec des critères bien définis en fonction des catégories d'aides du programme (p. 14-15 rapport IREX). Pour les TAP : (p. 35 du rapport de l'IREX). Appel d'offre de bourse ouvert à tous les étudiants Kazakh au lycée ou à l'université, basée sur le mérite. offre 1 an de bourse avec possibilité de renouvellement.",,,Etape 3,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E3,redevabilité (P_R),5. répartition des rôles ,Degré 3,"(1) Bornstein, A. (2016). The BOTA Foundation: A Model for the Safe Return of Stolen Assets? In ccprcentre.org. PtP Project. https://ccprcentre.org/files/media/PtP_Bota-Foundation-Case-Study_Bornstein.pdf ; (2) IREX, & Save the Children. (2015). The BOTA Foundation: Final Summative Report. IREX. https://www.irex.org/sites/default/files/node/resource/bota-foundation-final-report.pdf","Sont identifiés nominativement les membres du Conseil d'administration de BOTA (1) “Les noms et les courtes biographies des membres du Conseil d'administration (BoT) de BOTA ont été publiés sur le site web de la fondation. Des informations sur les modalités de sélection des membres du Conseil étaient disponibles dans la section FAQ du site web, tout comme les décisions prises par le Conseil à l'issue de ses réunions. Ces informations étaient accessibles de 2009 à 2014”. Le manager de BOTA a été sélectionné à travers un appel d'offre compétitif, et IREX fut sélectionné en coopération avec Save the Children(1) (2). La Banque Mondiale aurait joué un rôle important dans la rédaction du cahier des charges pour le dossier d'appel d'offres visant à sélectionner un responsable de programme (PM) pour la fondation, puis organisation de la procédure d'appel d'offres et sélection d'IREX/Save the Children pour occuper ce poste (1). La selection des Conditional Cash Transfers (CCT) s'est établie à travers des ""proxy mean tests"" (PMT) fournis par Save the Children. Le programme de service sociaux (SSP) a sélectionné des ONG qui pouvaient recevoir des fonds à travers des appels à projets, dirigés par un comité d'évaluation interne à BOTA (dirigé par IREX). La sélection des bénéficiaires des assistances aux bourses d'études (TAP) a été réalisée en interne par le personnel du département TAP sous la direction d'IREX, l'outil PMT (développé par Save the Children) étant utilisé pour vérifier l'éligibilité financière.",,,Etape 3,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E3,redevabilité (P_R),6. responsabilité et recours ,Degré 3,"(1) IREX, & Save the Children. (2015). The BOTA Foundation: Final Summative Report. IREX. https://www.irex.org/sites/default/files/node/resource/bota-foundation-final-report.pdf ; (2) Bornstein, A. (2016). The BOTA Foundation: A Model for the Safe Return of Stolen Assets? In ccprcentre.org. PtP Project. https://ccprcentre.org/files/media/PtP_Bota-Foundation-Case-Study_Bornstein.pdf ; (3) Memorandum of Understanding, (2007). https://2009-2017.state.gov/documents/organization/108887.pdf","Dans le cadre du SSP, une procédure de retour d'expérience a été mise en place pour les candidats non retenus, ainsi qu'un nouveau processus visant à adapter le suivi des bénéficiaires en fonction des niveaux de risque. C'est ce qui se rapproche le plus d'un mécanisme de recours, mais il ne s'agit pas d'un droit formel de contester une décision d'attribution (1). La Banque mondiale et le Conseil d'administration de la Fondation devaient approuver toutes les décisions importantes, mais des fonctionnaires suisses, américains et kazakhs devaient également donner leur accord écrit. Afin de contrôler étroitement les fonds de la BOTA, la Fondation recevait des financements tous les six mois, sur la base de rapports d'avancement, conformément à un budget et à un plan de travail approuvés par le conseil d'administration de la BOTA, la Banque mondiale et les trois gouvernements. ((2) p. 22). Le protocole d'accord stipule : “Ni les fonds ni aucun bien de la Fondation BOTA ne doivent être utilisés pour effectuer des paiements ou accorder d'autres avantages, directement ou indirectement, […] au gouvernement de la République du Kazakhstan, à ses fonctionnaires ou à leurs associés personnels ou professionnels.” (Protocole d'accord, article 2.6). Le déblocage des fonds est subordonné au programme BOTA, au programme d’examen de la gestion des finances publiques (PFMR) (visant à améliorer le plan stratégique pour renforcer la gestion des finances publiques au Kazakhstan) et au programme de l’Initiative pour la transparence dans les industries extractives (ITIE) (visant à accroître la transparence des paiements et des recettes des industries extractives opérant au Kazakhstan) (3).",,,Etape 3,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E3,inclusivité (P_I),7. capacité d'action,Degré 3,"Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].","Toutes les informations suivantes étaient accessibles au public :les critères et procédures de sélection ; les bénéficiaires (personnes physiques/morales) ; et la répartition des fonds (qui a reçu quoi). Selon Bornstein : “Avant chaque cycle de subventions, nous avons organisé des ateliers de sensibilisation à l'intention des ONG afin d'expliquer le principe du cycle, les types de subventions disponibles, les critères de sélection, etc. Nous avons cherché à faire largement connaître le programme de bourses TAP dans les provinces où il était en vigueur. Le CCT a également organisé des séances publiques de sensibilisation et d'inscription. La liste de tous les bénéficiaires des programmes TAP et SSP était disponible sur notre site web.” ( p. 5).",,,Etape 3,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E3,inclusivité (P_I),8. modalités de participation ,Degré 3,"(1) IREX, & Save the Children. (2015). The BOTA Foundation: Final Summative Report. IREX. https://www.irex.org/sites/default/files/node/resource/bota-foundation-final-report.pdf ; (2) Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication]. ","Les modalités se participation des SSPs étaient permettaient aux petites et grandes OSC de participer, selon des modalités adaptées à leur capacités. La participation aux CCT était adaptée aux populations, avec des extensions de temps de candidature pour les femmes enceintes notamment (1). Enfin, le programme TAP permettait aux étudiants d’aller dans toutes les universités qu’ils voulaient, peu importe la taille, le prix ou le prestige, et était personnalisé pour chaque étudiant, qui était suivi par un bénévole. Non seulement leur candidature était inclusive, mais tous les efforts nécessaires ont été mis en oeuvre pour permettre aux étudiants d’avoir les plus grandes chances de réussir après (networking, ateliers, etc.). Les programmes ont été adaptés pour qu’ils puissent être durables, et fournir des effets long terms sur les populations bénéficiaires ((2) p.9). ",,,Etape 3,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E3,inclusivité (P_I),9. pertinence des entités récipiendaires sélectionnées,Degré 3,"IREX, & Save the Children. (2015). The BOTA Foundation: Final Summative Report. IREX. https://www.irex.org/sites/default/files/node/resource/bota-foundation-final-report.pdf ; Balasubramanian, S., & Pacheco, C. (2015). Achieving Development Impact with an Inclusive Asset-Return Model: The Case of the BOTA Foundation in Kazakhstan. IREX. https://www.irex.org/sites/default/files/node/resource/bota-case-study_0.pdf` ; O’Brien, C. (2016). The impact of the BOTA foundation’s conditional cash transfer programme for pre-school children in Kazakhstan. In ilcid.org. International Policy Centre for Inclusive Growth. https://ipcid.org/sites/default/files/pub/en/OP314_The_impact_of_the_BOTA_foundation_s_conditional_cash_transfer_programme_for_pre_school_children_in_kazakhstan.pdf","Oui, et les rapports de suivi et d’évaluation en témoignent. ",,,Etape 3,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
